id,text,category
1022751,aceite olivares don alberto oliva 1 l 1 l,
966741,aceite chef pepita de uva 1 l 6 unidades,
1390206,aceite gold island vegetal 8 ml 300 unidades,
1021179,aceite bogaris oliva extra virgen unidad,
1021332,aceite osku oliva sachet 8cc 300 unidades,
1022703,aceite valeria palma soya 18 lts 18 lts,
967630,aceite interlagos oliva   500 ml,
1023099,aceite olivares don alberto bidon 5 litros litro,
1022905,aceite fritomac para freir 10 litros caja 2 unidades,
969582,aceite talliani oliva extra virgen 500 cc 6 unidades,
1137601,aceite cf aceite maravilla 5 litros,
1029635,aceite terrasanta oliva extra virgen 1l 6 unidades,
966631,aceite castan oliva extra virgen 500 cc 12 unidades,
967607,aceite ibian vegetal 1 l unidad,
1022590,aceite gastronomico gastronomico premium 10lt x 2unid,
969581,aceite talliani oliva extra virgen 1 l 6 unidades,
1022254,aceite kardamil aceite  unidad,
966436,aceite borgel oliva extra virgen 500 cc unidad,
1022314,aceite chef maravilla 5 l 5 unidades,
1022315,aceite chef maravilla 5 l 5 unidades,
1022633,aderezo ensalada osku limoneta sachet 8cc 300 unidades,
1022636,aderezo ensalada osku vinagreta sachet 8cc 300 unidades,
1390207,aderezo ensalada gold island vinagreta 10 cc 300 unidades,
1039177,ketchup jb 1 kilo unidad,
1114989,ketchup traverso 1 k unidad,
967664,ketchup jb bolsa 1 k,
1022032,ketchup don juan bolsa de kilo  3 unidades,
967496,ketchup hellmann's sachet 8 grs caja de 528 sachet unidad,
1036804,ketchup hellmann's 2 kilos unidad,
1036802,ketchup jb 2 kilos unidad,
1026482,ketchup don juan bolsa 1 kilo 12 unidades,
1022775,ketchup don juan ketchup don juan 12x1k 1 k,
1022256,ketchup jb ketchup jb 100gr 100   grs x displey 18  uni,
966623,ketchup carozzi bolsa doypack 1 k,
1022457,ketchup carozzi ketchup sachet 10 gr caja 1500 unidades caja 1500 unidades,
1036806,ketchup malloa 2 kilos unidad,
1036800,ketchup jb 1 kilo 10 unidades,
1022650,ketchup osku sachet 8g 300 unidades,
1022504,ketchup jb bolsa 6 unid,
1022641,ketchup carozzi ketchup bolsa 1150 gr unidad,
1225718,ketchup jano caja 10 unidades en bolsas de 1 kg unidad,
1023227,ketchup heinz botella 397 g,
1144939,mayonesa jb 1 litro unidad,
1027025,mayonesa hellmann's 800g con valvula unidad,
967498,mayonesa hellmann's  sachet 8 grs 528 unidades,
968584,mayonesa nestle sandwichera 1 litro unidad,
1022000,mayonesa maggi  sandwichera 1 litro  unidad,
967499,mayonesa hellmann's doypack 1 kilo unidad,
967506,mayonesa hellmann's light 1 kilo unidad,
1022507,mayonesa hellmann's bolsa 1 kilo 6 unidades,
968208,mayonesa maggi light 1 kilo unidad,
967497,mayonesa hellmann's sachet de 8 grs en caja de 528 sachet unidad,
1022592,mayonesa hellmann's 2lt 2lt x 6unid,
1023063,mayonesa jb bolsa 1 kilo 10x 1 kilo,
1036808,mayonesa jb bolsa 1 kilo 10x 1 kilo,
1023038,mayonesa hellmann's mayonesa deli 10x1 lt 10x1lt,
967657,mayonesa jb doypack 400 grs unidad,
1036817,mayonesa hellmann's deli    2 kilos,
967500,mayonesa hellmann's doypack 400 cc unidad,
967505,mayonesa hellmann's libre de colesterol doypack 1 kilo unidad,
1152696,mayonesa hellmann's doypack 400 cc 12 unidades,
967663,mayonesa jano bolsa 1 kilo unidad,
967509,mayonesa hellmann's light 800 grs unidad,
1036809,mayonesa jb 2 kilos unidad,
967656,mayonesa jb 2 kilos unidad,
1021595,mayonesa don juan bolsa 1 kilo 6 unidades,
1152698,mayonesa jb doypack 400 grs 12 unidades,
1022224,mayonesa hellmann's 2 kilos 6 unidades,
1022790,mayonesa don juan mayonesa casera 12x1l 12x1lt,
1028424,mayonesa kraft real mayo 887 mls unidad,
1022644,mayonesa osku sachet 8cc 300 unidades,
1036812,mayonesa hellmann's bolsa 1 kilo 10x1lt,
1021350,mayonesa nestle sandwichera 1 litro caja de 12 unidades,
1225719,mayonesa agrosilva caja 12 unidades en bolsas de 925 gr unidad,
1026484,mayonesa don juan tradicional 1 kilo 12 unidades,
1114932,mayonesa don juan casera 1 kilo 12 unidades,
967501,mayonesa hellmann's doypack 500 cc 6 unidades,
1362217,mayonesa carozzi 1 k 10 unidades,
968456,mayonesa natura doypack 1 kilo 8 unidades,
967659,mayonesa jb sobre 80 grs 24 unidades,
1101306,mayonesa hellmann's salsa  tartara 10 x 1kg,
1036815,mayonesa hellmann's 2 kilos unidad,
1023055,mayonesa hellmann's mayonesa supreme 15x887 1x887 grs,
1114988,mostaza traverso 1 k  unidad,
1129574,mostaza jb bolsa 1 kilo unidad,
1026485,mostaza don juan institucional 1 kilo 12 unidades,
1036798,mostaza hellmann's 1 kilo 10 unidades,
1036797,mostaza jb bolsa 1 kg 10 unidades,
967512,mostaza hellmann's sachet de 8 grs en caja de 528 sachet unidad,
1182023,mostaza jano bolsa de 1k 10 unidades por caja,
1022912,mostaza don juan mostaza 12x1k 1 k,
1110709,mostaza don juan sobre caja 72 unidades,
1022260,mostaza jb mostaza jb 100gr 100 grs  x  18  unidades,
1028633,mostaza jb bolsa 1 kg x 12 unidades,
1022653,mostaza osku sachet 8g 300 unidades,
1026997,"agua mineral cachantun con gas 1,6 l 12 unidades",
966388,"agua mineral benedictino con gas 1,5 l  6 unidades",
966396,"agua mineral benedictino sin gas 1,5 l unidad",
966635,agua mineral ccu con gas cachantun 500 cc 6 unidades,
966642,agua mineral ccu sin gas cachantun 500 cc 6 unidades,
966685,agua mineral ccu sin gas cachantun 500 cc unidad,
966391,"agua mineral benedictino sin gas 1,5 l 6 unidades",
966210,"agua mineral andina sin gas vital 1,6 l 6 unidades",
1027003,agua mineral cachantun sin gas 16 l 12 unidades,
966636,"agua mineral ccu light gas cachantun 1,6 l 6 unidades",
966640,"agua mineral ccu sin gas cachantun 1,6 l 6 unidades",
966209,agua mineral andina con gas vital 600 cc 6 unidades,
966208,"agua mineral andina con gas vital 1,6 l 6 unidades",
966633,"agua mineral ccu con gas cachantun 1,6 l 6 unidades",
1027001,agua mineral vital con gas 600 cc 12 unidades,
966227,agua mineral andina con gas vital 600 cc unidad,
966676,"agua mineral ccu con gas cachantun 1,6 l unidad",
966683,"agua mineral ccu sin gas cachantun 1,6 l unidad",
1027000,agua mineral cachantun con gas 500cc 12 unidades,
1022974,agua mineral cachantun sin /gas de 6 litros 4 unidades,
966390,agua mineral benedictino con gas 500 cc 6 unidades,
969660,agua mineral vital sin gas 600 cc unidad,
966225,"agua mineral andina con gas vital 1,6 l unidad",
966228,"agua mineral andina sin gas vital 1,6 l unidad",
966226,"agua mineral andina con gas vital 2,3 l unidad",
1332190,agua mineral vital con gas 600 cc unidad,
1027004,agua mineral cachantun sin gas 500 cc 12 unidades,
969135,"agua mineral soprole next con gas biobalance 1,5 l 6 unidades",
1027006,agua mineral vital sin gas 16 l 12 unidades,
966397,agua mineral benedictino sin gas 2 l unidad,
966439,agua mineral cachantun sin gas 5 litros 2 unidades,
1026998,agua mineral vital con gas 16 l 12 unidades,
1021481,agua mineral ccu pure life 5 litros ,
966231,agua mineral andina sin gas vital 600 cc unidad,
966211,agua mineral andina sin gas vital 600 cc 6 unidades,
966394,agua mineral benedictino con gas 2 l unidad,
966392,agua mineral benedictino sin gas 2 l 6 unidades,
1029038,agua mineral mc cola  2 litros  pack 6 unidades ,
1027005,agua mineral vital sin gas 600 cc 12 unidades,
1107027,agua mineral puyehue sin gas 12 x 500,
969659,agua mineral vital agua mineral sin gas 5 l,
