id,text,category,conf,envase,marca,modelo,tp,medida bolsa (bolsa),medida lt (litro),medida tableta (tableta),medida un (unidad1),medida un2 (unidad2),light,medida gr (gramo),sabor,alvacio,marinado,tamaño
1260171,aceite coliseo aceite vegetal bidon 5 litros caja de 4 unidades,Aceites,1.0,bidon,coliseo,,aceite vegetal,,,,4.0,,,,,,,
1163498,aceite cristal vegetal 900 ml 12 unidades,Aceites,1.0,,cristal,,,,0.9,,12.0,,,,,,,
1333206,aceite los silos vegetal 5 l unidad,Aceites,1.0,,los silos,,,,5.0,,,,,,,,,
1022072,aceite natura maravilla 0c botella 900 ml 6 unidades,Aceites,1.0,botella,natura,,,,0.9,,6.0,,,,,,,
967737,aceite la reina vegetal 500 cc 24 unidades,,0.4,,,,,,,,,,,,,,,
967183,aceite de reyes vegetal 900 cc 12 unidades,,0.4,,,,,,,,,,,,,,,
1022269,aceite trovattore vegetal 1 l,Aceites,1.0,,,,,,1.0,,,,,,,,,
967735,aceite la reina vegetal 250 cc 10 unidades,,0.4,,,,,,,,,,,,,,,
967738,aceite la reina vegetal 1 l unidad,Aceites,1.0,,,,,,1.0,,,,,,,,,
969583,aceite talliani oliva extra virgen 1 l unidad,,0.4,,,,,,,,,,,,,,,
1181752,aceite sao 1 litro unidad,Aceites,1.0,,,,,,,,,,,,,,,
1144944,aceite miraflores maravilla 5 litros  caja 4 unidades,Aceites,1.0,,miraflores,,,,,,4.0,,,,,,,
967087,aceite cristal vegetal 1 l unidad,Aceites,1.0,,cristal,,,,1.0,,,,,,,,,
967739,aceite la reina vegetal 250 cc unidad,Aceites,1.0,,,,,,0.25,,,,,,,,,
968656,aceite osku maravilla sachet 8 cc 300 unidades,,0.6,,,,,,,,,,,,,,,
967184,aceite de reyes vegetal 900 cc unidad,Aceites,1.0,,,,,,0.9,,,,,,,,,
967237,aceite dona flor vegetal 1 l unidad,Aceites,1.0,,,,,,1.0,,,,,,,,,
967736,aceite la reina vegetal 1 l 12 unidades,Aceites,1.0,,,,,,1.0,,12.0,,,,,,,
966488,aceite campo lindo maravilla 1 l 12 unidades,,0.8,,,,,,,,,,,,,,,
969624,aceite trisol vegetal 900 cc unidad,Aceites,1.0,,trisol,,,,0.9,,,,,,,,,
969618,aceite trisol maravilla 1 l 15 unidades,Aceites,1.0,,trisol,,,,1.0,,15.0,,,,,,,
966755,aceite chef vegetal 500 cc unidad,Aceites,1.0,,chef,,,,0.5,,,,,,,,,
967078,aceite creasol vegetal 1 l,Aceites,1.0,,,,,,1.0,,,,,,,,,
967740,aceite la reina vegetal 500 cc unidad,Aceites,1.0,,,,,,0.5,,,,,,,,,
968749,aceite protal vegetal 250 cc 12 unidades,,0.4,,,,,,,,,,,,,,,
967182,aceite de reyes  de maravilla 900 cc 12 unidades,,0.6,,,,,,,,,,,,,,,
1022272,aceite trovattore vegetal 5 lt,Aceites,1.0,,,,,,5.0,,,,,,,,,
1023325,aceite de reyes maravilla 900 cc caja 12 unidades,,0.6,,,,,,,,,,,,,,,
1022366,aceite bonanza vegetal 1 litro 15 unidades,Aceites,1.0,,bonanza,,,,,,15.0,,,,,,,
966429,aceite bonanza vegetal 1 l  12 unidades,Aceites,1.0,,bonanza,,,,1.0,,12.0,,,,,,,
1022977,aceite coliseo vegetal 1 l 12 unidades,Aceites,1.0,,coliseo,,,,1.0,,12.0,,,,,,,
1022089,aceite coliseo vegetal 1 l 12 unidades,Aceites,1.0,,coliseo,,,,1.0,,12.0,,,,,,,
967084,aceite cristal vegetal 500 cc 24 unidades,,0.4,,,,,,,,,,,,,,,
969619,aceite trisol vegetal 1 l 15 unidades,Aceites,1.0,,trisol,,,,1.0,,15.0,,,,,,,
968410,aceite miraflores oliva 500 cc unidad,Aceites,1.0,,miraflores,,,,0.5,,,,,,,,,
968351,aceite mestre  oliva extra virgen 500 ml,Aceites,1.0,,,,,,0.5,,,,,,,,,
966382,aceite belmont para freir 1 l unidad,Aceites,1.0,,belmont,,,,1.0,,,,,,,,,
966347,aceite banquete oliva extra virgen 500 cc unidad,Aceites,1.0,,,,,,0.5,,,,,,,,,
967442,aceite granjas de la sierra vegetal 500 cc 24 unidades,,0.4,,,,,,,,,,,,,,,
969620,aceite trisol vegetal 900 cc 15 unidades,,0.4,,,,,,,,,,,,,,,
966754,aceite chef vegetal 2 l unidad,Aceites,1.0,,chef,,,,2.0,,,,,,,,,
966739,aceite chef oliva 1 l 6 unidades,Aceites,1.0,,chef,,,,1.0,,6.0,,,,,,,
967088,aceite cristal vegetal 2 l unidad,Aceites,1.0,,cristal,,,,2.0,,,,,,,,,
966383,aceite belmont pepita de uva 1 l unidad,Aceites,1.0,,belmont,,,,1.0,,,,,,,,,
966751,aceite chef pepita de uva 1 l unidad,Aceites,1.0,,chef,,,,1.0,,,,,,,,,
966736,aceite chef pepita de uva 500 cc 30 unidades,,0.4,,,,,,,,,,,,,,,
967441,aceite granjas de la sierra vegetal 900 cc 20 unidades,,0.4,,,,,,,,,,,,,,,
1332291,aceite mazola canola 1 l unidad,Aceites,1.0,,mazola,,,,1.0,,,,,,,,,
1128119,aceite arrocera san fernando aceite vegetal bidon 5 litros unidad,Aceites,1.0,bidon,,,aceite vegetal,,,,,,,,,,,
1021367,aceite de reyes vegetal alto oleico bidon 5 litros caja 4 unidades,Aceites,1.0,bidon,,,,,,,4.0,,,,,,,
1151320,aceite nutrasol vegetal 5 l unidad,Aceites,1.0,,nutrasol,,,,5.0,,,,,,,,,
967083,aceite cristal vegetal 250 cc 12 unidades,,0.4,,,,,,,,,,,,,,,
969092,aceite sol de aculeo oliva extra virgen blend 1 l unidad,Aceites,1.0,,sol de aculeo,,,,1.0,,,,,,,,,
1315010,aceite bau oliva 500 ml caja de 12 unidades,,0.8,,,,,,,,,,,,,,,
1021542,aceite de reyes  de maravilla 900 cc 60 unidades,,0.6,,,,,,,,,,,,,,,
1021538,aceite de reyes vegetal 900 cc 60 unidades,,0.4,,,,,,,,,,,,,,,
1021274,aceite vita frit semiliquido industrial 10 l unidad,Aceites,1.0,,,,,,10.0,,,,,,,,,
1021322,aceite premium frit industrial 10 l unidad,,0.2,,,,,,,,,,,,,,,
969621,aceite trisol vegetal 900 cc 5 unidades,,0.4,,,,,,,,,,,,,,,
1021541,aceite de reyes vegetal 900 cc 600 unidades,,0.4,,,,,,,,,,,,,,,
1022842,aceite granada vegetal 5 litros 4 unidades,Aceites,1.0,,granada,,,,,,4.0,,,,,,,
966735,aceite chef pepita de uva 1 l 12 unidades,Aceites,1.0,,chef,,,,1.0,,12.0,,,,,,,
966746,aceite chef maravilla 2 l unidad,Aceites,1.0,,chef,,,,2.0,,,,,,,,,
966740,aceite chef oliva 500 cc 6 unidades,,0.8,,,,,,,,,,,,,,,
966742,aceite chef pepita de uva 500 cc 6 unidades,,0.4,,,,,,,,,,,,,,,
1026492,aceite canola vegetal 1 litro 12 unidades,Aceites,1.0,,,,,,,,12.0,,,,,,,
